    MCFM FCFF MOPLM FOPLF AGEM MRMM FRMF MWORK MFCM FFCF
127 3.64 3.64     2     2    0    1    0     0    0    0
128 4.55 3.45     4     5    0    0    0     0    1    0
129 3.27 3.91     4     7    0    0    1     0    0    0
130 4.73 4.64     3     1    0    0    1     0    0    0
131 5.64 3.09     4     7    0    1    0     0    1    1
132 3.64 6.36     4     1    1    0    0     0    1    1
133 5.09 3.91     3     3    0    0    0     0    1    0
134 3.64 3.00     3     3    1    0    0     1    0    0
135 5.20 3.73     5     5    0    1    1     0    0    0
136 3.36 4.36     6     6    0    0    0     0    1    1
137 5.09 4.00     3     4    1    1    0     1    0    0
138 5.73 4.18     7     7    0    0    0     0    0    1
139 3.82 4.00     3     6    1    1    0     1    1    0
140 4.82 4.82     1     1    1    1    1     1    1    0
141 5.00 4.55     1     2    1    0    1     1    1    0
142 3.09 4.09     6     7    0    0    0     0    0    1
143 4.09 4.00     3     2    1    1    1     1    0    0
144 4.36 6.73     2     3    1    1    1     0    1    0
145 2.60 1.82     6     4    0    0    0     1    0    1
146 4.09 4.36     2     2    1    0    0     1    0    0
147 4.09 3.91     5     4    0    1    1     1    1    1
148 5.27 2.80     5     6    0    1    0     0    1    1
149 4.36 3.82     5     7    1    0    0     1    0    0
150 3.82 3.18     2     1    1    0    1     1    1    0
151 3.09 2.82     7     7    0    0    0     1    0    0
152 3.22 3.73     4     1    0    1    0     1    0    0
153 4.09 3.36     6     1    0    0    0     1    1    1
154 3.73 3.45     6     7    1    0    0     0    1    0
155 3.18 2.91     5     5    1    0    0     0    0    0
156 6.45 4.67     1     1    1    0    0     1    0    1
157 3.73 3.91     3     7    0    0    1     0    0    1
158 4.09 4.27     1     5    0    1    0     0    0    0
159 5.36 4.18     3     6    0    1    0     0    1    0
160 3.36 3.18     2     6    1    0    0     0    0    0
161 5.09 4.82     2     1    0    0    1     0    0    1
162 1.82 5.18     2     2    0    0    0     1    0    0
163 4.09 4.00     2     3    0    1    1     0    1    1
164 3.82 4.64     3     3    1    0    0     0    0    0
165 4.91 3.82     4     7    1    1    1     0    0    0
166 4.18 4.55     3     3    1    0    1     0    0    1
167 3.09 4.45     4     4    1    0    0     0    1    1
168 2.64 5.18     6     5    0    1    0     0    0    0
169 5.91 3.64     2     2    1    0    0     1    1    1
170 4.36 3.64     6     3    1    0    0     1    1    0
171 5.91 5.55     2     2    1    0    0     1    0    0
172 4.00 4.09     4     6    0    0    1     0    1    0
173 4.27 3.80     5     6    1    0    0     1    0    0
174 4.55 5.36     2     1    1    0    0     0    1    0
175 4.82 4.27     3     6    1    1    1     1    1    1
176 4.82 4.00     6     4    0    0    0     1    1    0
177 3.00 2.45     6     6    0    0    0     1    1    0
178 4.64 5.45     4     3    1    0    0     1    0    0
179 3.82 4.18     1     6    0    1    1     0    1    0
180 3.73 4.50     2     6    0    0    1     0    0    0
181 4.70 3.00     2     3    0    1    0     0    0    0
182 3.45 4.36     1     2    0    0    1     1    0    0
183 4.70 4.91     7     7    0    1    1     0    1    1
184 5.00 4.00     1     3    1    0    1     0    0    1
185 1.91 1.91     3     7    0    0    0     1    1    0
186 4.00 3.36     3     2    0    0    0     1    1    0
187 4.00 5.00     3     2    1    1    0     1    0    0
188 1.82 3.09     5     6    0    0    0     1    0    0
189 3.55 3.00     4     6    1    0    0     1    1    0
190 3.82 3.82     5     7    0    0    0     0    1    1
191 2.82 3.45     4     7    0    0    0     1    0    1
192 4.00 3.27     4     7    0    0    0     0    1    0
193 4.45 2.36     2     3    1    0    0     0    1    1
194 4.09 2.18     7     7    0    0    0     1    0    0
195 5.64 6.18     2     3    1    0    1     1    1    0
196 4.18 4.55     4     2    1    0    0     1    0    1
197 5.27 3.64     2     4    1    1    0     1    1    1
198 4.73 5.09     1     1    1    0    1     0    0    0
199 4.73 4.82     3     4    1    1    1     0    1    0
200 2.82 2.73     4     4    0    1    0     1    1    0
201 6.00 5.36     2     2    1    0    1     0    0    1
202 4.91 5.45     3     2    1    0    1     0    0    0
203 5.30 4.91     2     4    0    1    1     0    1    1
204 4.73 3.82     3     3    0    1    0     1    1    1
205 3.73 3.27     5     7    0    1    1     0    0    0
206 4.91 3.27     4     6    0    0    0     1    0    1
207 2.64 2.82     6     6    0    0    0     1    0    0
208 4.55 4.64     3     5    1    1    1     0    0    1
209 3.45 3.73     6     3    0    0    0     1    0    1
210 4.55 4.55     3     1    0    1    1     1    0    1
211 4.82 3.91     3     2    0    0    0     1    0    0
212 4.73 2.73     4     2    0    1    0     1    0    0
213 5.64 4.27     3     4    0    1    1     0    0    0
214 3.64 4.36     5     7    0    0    1     0    1    1
215 5.18 5.18     1     2    0    1    1     0    1    1
216 5.45 4.64     2     2    1    1    0     1    0    0
217 4.64 4.73     5     7    1    1    1     1    1    1
218 4.36 5.45     4     4    1    1    1     0    0    1
219 4.55 6.45     2     1    0    1    1     0    1    1
220 5.64 5.55     2     2    0    1    1     0    0    0
221 4.00 3.55     3     2    0    1    0     1    1    1
222 4.18 4.45     2     3    0    0    0     0    0    0
223 4.55 5.27     3     3    0    0    0     0    0    0
224 5.45 3.82     2     2    0    1    1     0    1    0
225 4.91 3.64     4     7    0    1    1     1    0    0
226 5.00 5.00     3     2    0    1    1     0    1    1
227 3.45 5.27     2     2    1    0    1     1    1    1
228 4.55 6.09     5     5    0    0    0     0    0    0
229 4.73 5.09     4     2    1    1    1     0    1    1
230 5.82 5.73     2     1    1    1    1     0    0    0
231 3.18 4.82     6     7    0    1    0     0    1    0
232 2.91 4.27     4     4    1    1    0     1    1    1
233 3.91 1.36     6     6    0    1    0     1    1    1
234 4.64 3.91     4     4    0    1    1     1    0    1
235 3.45 3.27     2     6    0    1    0     0    0    0
236 4.18 5.09     3     2    0    0    1     0    1    1
237 4.64 4.50     3     4    0    1    1     0    0    1
238 2.82 3.09     7     7    0    0    0     1    1    1
239 4.82 4.64     4     7    0    1    1     1    1    1
240 4.09 3.64     2     6    1    0    0     0    0    0
241 4.55 4.18     5     7    0    0    1     1    0    1
242 4.00 4.91     6     7    1    1    1     1    1    1
243 3.55 4.09     4     5    1    0    0     1    1    1
244 4.82 5.27     2     2    1    1    1     0    0    0
245 5.73 4.18     1     2    1    1    1     0    0    1
246 4.82 4.09     5     5    0    0    1     0    1    0
247 5.27 4.27     7     7    1    0    0     1    0    1
248 5.45 5.91     3     4    0    1    1     0    1    1
249 4.45 4.45     5     6    0    0    1     0    0    1
250 4.55 5.09     5     5    0    0    1     1    0    1
251 3.36 4.73     7     6    0    1    0     0    1    1
252 4.64 4.55     6     7    0    0    0     0    1    1
253 4.45 5.00     3     2    0    1    1     0    1    0
254 5.91 3.82     2     5    0    1    0     0    0    0
255 5.00 3.91     3     1    0    1    0     0    1    0
256 4.82 4.55     2     2    1    1    0     1    0    0
257 4.36 4.00     4     7    0    0    0     0    0    1
258 4.18 3.82     4     1    1    0    0     0    1    1
259 4.82 5.09     2     2    1    0    1     0    1    1
260 4.73 3.09     6     6    1    0    1     1    0    0
261 3.82 4.00     3     2    0    0    0     1    1    1
262 5.09 4.20     2     1    0    1    1     0    1    1
263 4.00 3.82     2     2    1    0    1     1    1    1
264 5.09 3.55     3     7    0    0    0     0    0    1
265 4.45 3.00     6     4    1    0    0     0    1    0
266 3.55 3.27     4     7    0    0    0     1    1    1
267 3.70 4.45     4     5    1    0    0     1    0    1
268 4.82 4.64     3     2    1    1    0     1    1    1
269 4.36 3.82     4     7    0    0    0     1    0    1
270 2.91 1.55     6     7    1    0    0     1    1    0
271 3.55 3.91     4     5    1    0    0     1    1    1
272 3.55 4.55     7     3    0    0    0     1    1    0
273 5.36 4.27     2     4    0    1    1     0    0    0
274 4.64 4.73     2     2    0    1    1     0    1    1
275 4.45 3.73     3     6    1    0    1     1    1    0
276 4.45 4.82     2     2    0    1    0     0    1    0
277 5.45 4.27     1     4    1    1    0     1    1    0
278 5.27 4.00     2     6    1    0    1     1    0    0
279 4.45 4.45     2     2    1    1    1     1    0    0
280 4.55 5.45     1     2    0    1    0     0    0    0
281 4.73 4.00     3     2    0    0    0     1    0    0
282 6.00 5.91     1     2    0    1    1     1    1    1
283 5.09 5.09     1     2    0    1    0     1    1    0
284 3.45 5.82     2     2    1    0    1     0    1    1
285 5.45 5.27     3     3    1    1    0     1    1    0
286 5.27 3.27     3     4    1    0    0     0    0    0
287 5.55 3.18     1     4    1    0    1     0    0    0
288 4.36 4.64     2     5    0    1    0     0    1    1
289 4.00 5.64     1     2    1    0    1     1    0    0
290 2.27 3.09     2     2    0    1    0     0    0    0
291 4.73 5.45     4     4    1    1    0     0    0    0
292 4.18 3.18     3     3    1    0    0     1    0    0
293 3.91 4.27     4     3    0    0    0     0    0    0
294 4.82 5.27     2     2    1    1    0     0    0    0
295 4.18 4.36     1     2    1    1    0     0    0    0
296 4.55 5.64     1     2    1    1    0     0    1    0
297 4.18 4.55     3     2    0    0    0     1    0    0
298 4.09 2.55     6     5    1    0    0     0    1    0
299 4.45 5.64     2     5    1    1    1     0    1    1
300 3.45 4.36     3     6    0    1    0     0    1    0
301 3.00 5.45     3     2    0    0    0     1    1    0
302 5.09 3.64     3     3    1    1    0     1    0    0
303 3.73 5.55     2     2    0    1    1     0    0    0
304 3.73 3.55     3     2    1    0    0     1    1    0
305 4.55 4.82     2     2    1    0    0     0    1    0
306 5.36 5.73     1     2    0    1    0     0    0    0
307 5.09 6.45     2     2    0    1    1     1    1    0
308 5.18 3.91     4     3    0    1    0     1    1    1
309 4.73 5.55     1     2    1    1    0     1    1    1
310 3.22 4.82     2     1    0    1    1     1    1    1
311 4.00 4.09     2     6    1    1    1     0    1    1
312 4.00 3.18     6     6    0    1    1     0    1    1
313 3.64 5.55     2     3    1    1    0     0    1    0
314 3.27 3.55     2     2    0    0    0     0    1    1
315 5.10 5.36     2     5    1    1    0     0    0    1
316 5.27 5.00     2     2    0    0    1     1    0    0
317 2.55 3.27     4     4    1    0    0     1    1    0
318 5.45 5.27     3     2    0    1    0     0    0    1
319 4.55 4.55     3     1    0    1    1     1    1    1
320 4.50 5.00     1     2    0    0    0     1    1    1
321 3.91 4.09     4     6    1    0    0     0    1    1
322 3.45 4.91     4     5    0    0    0     0    0    1
323 4.18 3.45     2     5    1    0    0     1    0    0
324 4.45 4.73     2     2    0    1    0     1    0    1
325 5.09 3.36     2     2    0    1    1     1    0    1
326 4.00 4.09     1     4    0    0    0     1    1    1
327 4.27 3.55     3     4    1    0    0     0    0    0
328 5.45 5.09     2     3    1    0    1     0    0    0
329 3.45 3.64     1     4    1    0    1     1    0    0
330 4.64 4.55     1     2    0    1    1     0    1    1
331 3.55 5.00     2     2    0    0    0     0    0    1
332 3.45 1.64     2     4    1    0    0     1    0    0
333 4.18 4.00     2     2    1    0    1     0    1    1
334 6.00 4.64     3     4    1    0    1     0    0    0
335 5.00 2.80     1     5    1    0    0     0    0    1
336 3.91 3.45     1     4    1    0    1     0    0    0
337 4.91 4.45     2     2    0    0    0     1    1    1
338 4.91 4.73     1     2    1    0    1     1    1    1
339 5.64 3.73     3     2    0    1    1     0    0    0
340 4.55 5.09     4     4    0    0    0     1    0    0
341 2.82 2.09     3     2    0    1    1     0    0    0
342 5.91 5.09     1     1    0    1    1     0    0    0
343 4.18 4.73     4     6    0    0    0     1    0    1
344 5.00 3.73     3     6    0    0    0     0    0    0
345 3.64 5.00     2     2    0    0    1     1    1    0
346 5.91 4.09     3     2    0    1    0     1    0    1
347 4.91 5.27     4     1    0    0    0     1    1    1
348 3.82 4.64     5     1    1    0    0     0    0    1
349 4.27 3.27     4     2    1    0    0     1    1    1
350 5.64 3.27     2     2    0    1    1     0    0    0
351 4.64 4.73     2     2    1    0    0     0    1    1
352 3.91 4.45     5     4    1    1    1     0    1    1
353 4.27 4.36     2     2    0    0    1     0    0    1
354 5.00 5.36     2     3    0    1    0     0    0    0
355 4.18 4.36     2     4    1    1    1     0    1    1
356 4.55 4.82     6     5    0    0    1     1    1    0
357 2.91 3.91     6     2    1    0    0     1    0    0
358 5.18 4.73     4     3    1    0    0     1    1    0
359 4.00 3.82     1     4    0    0    0     0    1    1
360 4.45 5.45     4     4    0    1    1     0    0    0
361 4.73 5.45     3     4    0    1    1     1    0    0
362 3.73 5.45     3     3    0    0    0     0    0    1
363 3.64 5.55     1     2    1    1    1     0    1    1
364 6.09 5.45     2     4    0    1    1     0    1    0
365 4.91 3.36     2     2    0    1    0     0    0    0
366 4.73 4.27     2     3    0    1    1     0    1    1
367 3.55 5.91     2     2    0    1    0     0    0    1
368 4.09 4.09     2     6    0    1    1     0    0    0
369 5.18 4.09     1     2    1    0    1     1    0    0
370 3.45 4.00     4     2    1    1    0     0    0    0
371 6.30 5.64     3     3    1    1    1     0    1    0
372 4.73 4.64     2     2    1    1    1     1    1    1
373 2.18 3.73     6     6    0    0    0     1    0    0
374 2.91 1.82     3     7    0    0    0     0    1    1
375 4.45 4.27     3     4    0    0    0     1    0    1
376 4.30 3.82     3     4    1    0    1     0    1    1
377 6.09 4.82     1     2    1    1    1     0    1    0
378 5.18 4.45     4     6    0    1    0     1    0    0
379 5.27 3.64     3     6    0    0    0     1    0    0
380 4.55 4.40     1     2    0    1    0     1    1    1
381 4.18 3.09     3     2    0    1    0     0    1    0
382 3.00 3.82     6     6    0    0    0     1    1    1
383 5.45 5.00     2     2    1    0    1     1    1    1
384 3.82 3.27     1     7    0    1    0     0    0    0
385 4.36 3.82     3     4    0    0    1     1    0    1
386 4.45 4.00     2     6    1    1    1     0    0    0
387 3.55 4.45     5     3    1    0    0     1    1    0
388 3.70 4.73     3     6    1    1    0     1    1    0
389 5.82 5.36     2     2    1    1    1     1    1    1
390 5.00 4.45     4     2    1    1    1     1    1    1
391 4.91 5.09     2     3    1    0    0     0    0    0
392 3.18 3.73     6     4    1    0    0     1    1    1
393 2.36 1.73     7     7    0    0    0     1    1    1
394 6.18 6.18     1     5    0    1    1     0    1    0
395 5.60 2.91     1     2    0    1    0     1    1    0
396 5.00 4.82     2     2    1    0    0     0    0    0
397 4.55 5.55     1     3    0    1    1     0    0    0
398 4.82 4.45     4     7    0    0    1     0    1    1
399 4.73 4.90     4     4    0    0    0     0    1    0
400 4.82 5.36     2     2    0    0    0     0    0    0
401 6.09 5.64     4     5    1    1    1     1    0    0
402 2.36 4.00     2     2    1    0    0     1    0    0
403 4.10 4.91     5     7    0    1    1     0    1    1
404 4.36 5.00     7     7    0    0    0     1    1    1
405 5.09 5.27     6     3    0    0    1     0    0    1
406 3.73 3.73     6     7    0    0    0     1    0    1
407 4.27 5.00     2     3    1    0    0     0    0    0
408 3.36 4.73     6     6    1    0    0     1    1    0
409 5.90 4.09     3     4    0    0    0     0    1    0
410 5.91 4.82     3     7    0    1    1     0    0    0
411 4.73 3.91     1     4    0    1    1     0    1    1
412 3.55 3.55     3     4    0    1    1     0    1    0
413 4.91 4.64     1     4    0    1    1     0    1    1
414 4.55 3.73     4     7    1    0    1     1    1    1
415 4.70 4.64     1     4    0    1    1     0    1    1
416 4.00 4.73     3     6    1    0    0     1    0    1
417 3.27 3.18     4     6    1    1    1     1    0    0
418 6.45 4.09     3     4    0    1    1     1    1    0
419 5.27 5.09     1     5    0    0    0     0    0    0
420 5.00 3.73     3     5    0    1    1     0    0    1
421 3.09 3.55     4     6    0    0    0     1    0    0
422 4.64 3.09     6     6    0    1    1     0    0    0
423 3.82 4.73     2     2    1    1    0     0    0    0
424 5.09 4.27     2     3    0    1    0     1    0    1
425 2.91 6.45     3     1    0    1    1     0    1    0
426 5.64 4.09     4     6    0    1    0     1    0    0
427 4.45 4.09     3     2    0    1    1     0    1    1
428 4.00 4.36     6     4    1    0    0     1    0    0
429 2.91 4.45     3     5    1    0    0     1    0    0
430 5.64 4.27     2     1    0    0    0     0    1    1
431 3.45 5.09     2     2    1    1    1     0    0    0
432 4.30 3.36     4     6    1    0    1     1    0    1
433 3.27 4.36     2     2    0    0    0     0    0    1
434 2.36 2.55     3     6    0    1    0     0    1    1
435 4.82 4.27     2     2    0    0    0     0    1    1
436 3.91 4.18     3     7    1    1    1     0    1    1
437 3.45 3.73     5     4    1    0    0     1    1    1
438 4.82 5.36     2     2    1    1    1     0    0    0
439 4.36 3.27     4     5    1    0    0     1    0    0
440 6.00 4.73     6     4    1    0    0     0    1    1
441 3.64 3.55     3     3    1    0    0     0    1    0
442 3.09 3.64     3     7    0    0    1     1    1    0
443 5.45 4.27     4     4    1    1    0     1    1    1
444 5.27 5.00     2     3    1    0    1     0    0    0
445 4.55 4.45     4     2    1    1    0     1    1    0
446 3.82 4.27     4     2    1    0    1     0    1    1
447 5.27 4.82     2     4    0    0    0     1    1    1
448 4.91 4.36     2     1    0    1    1     0    0    1
449 4.45 4.27     3     2    1    0    0     0    0    0
450 4.45 4.73     7     7    0    0    0     1    1    1
451 2.91 4.09     4     6    0    0    0     1    1    1
452 5.27 6.36     2     1    0    1    1     0    1    1
453 4.36 6.00     1     2    0    1    1     0    1    1
454 4.45 4.55     4     2    1    0    0     0    1    0
455 5.10 6.27     4     3    0    1    1     1    0    1
456 4.09 6.73     4     2    0    0    1     0    1    0
457 5.00 5.09     3     4    1    1    1     1    0    0
458 5.27 5.27     4     3    0    1    1     1    1    0
459 3.82 3.91     4     5    1    0    0     0    1    0
460 4.45 4.91     3     2    1    0    0     0    0    1
461 4.27 4.00     2     2    1    0    0     1    1    1
462 5.09 4.09     1     3    1    1    1     0    1    1
463 4.90 4.82     2     3    0    1    1     1    0    0
464 1.00 4.27     1     1    1    1    0     1    1    0
465 5.18 5.64     3     3    0    1    1     0    0    0
466 3.91 3.73     6     7    0    0    0     0    0    0
467 4.00 5.60     5     1    1    1    1     0    0    1
468 4.64 4.55     4     4    1    0    0     1    1    0
469 5.36 5.91     2     2    1    0    0     0    1    0
470 4.40 4.91     4     4    1    0    1     0    0    1
471 4.27 4.18     6     3    0    1    0     1    1    1
472 5.00 3.73     4     4    0    0    0     0    1    1
473 4.27 4.91     3     2    0    0    1     0    1    0
474 4.09 4.27     2     4    1    0    1     1    1    1
475 3.27 3.73     3     4    0    1    1     0    0    0
476 4.55 3.91     3     2    1    1    0     0    1    1
477 4.36 3.82     2     2    1    1    1     1    0    0
478 4.50 4.18     4     2    1    0    0     1    1    1
479 5.91 4.27     2     1    1    1    0     1    1    1
480 5.40 4.91     2     2    1    1    0     0    1    0
481 4.73 3.82     3     2    1    1    0     0    1    1
482 4.73 5.09     4     4    1    0    0     0    1    0
483 3.64 4.82     4     4    1    0    1     1    0    0
484 5.27 4.00     2     2    1    1    0     1    0    0
485 4.64 4.73     2     2    0    1    0     1    0    0
486 4.36 4.45     2     1    1    0    0     1    1    1
487 3.55 2.36     4     4    0    0    0     1    1    1
488 5.18 3.45     7     6    0    0    0     1    0    0
489 3.18 3.45     3     5    1    0    0     1    1    0
490 2.45 2.00     6     5    0    0    0     1    0    0
491 5.36 4.45     1     2    0    1    0     0    1    0
492 4.73 5.36     6     5    1    0    0     1    0    0
493 4.82 4.55     2     1    1    0    0     1    0    0
494 5.80 3.18     2     1    0    1    1     0    0    1
495 2.82 5.36     4     2    0    0    0     1    1    0
496 4.09 5.00     3     2    0    0    1     0    0    1
497 4.27 4.80     5     2    0    0    0     1    1    0
498 3.73 5.18     5     2    1    1    1     0    1    0
499 4.18 6.09     1     1    0    0    0     0    0    0
500 3.18 3.27     3     6    1    1    1     0    1    1
501 4.82 4.45     5     3    1    0    0     0    0    0
502 4.18 5.20     3     4    1    0    0     0    0    0
503 4.64 3.36     4     4    0    1    1     1    0    1
504 3.82 3.55     2     4    0    0    0     1    1    0
505 5.45 4.36     4     2    1    0    0     0    0    0
506 4.55 4.55     3     2    1    0    0     1    0    0
507 4.45 4.00     4     2    0    1    1     0    1    1
508 4.09 4.09     3     3    0    1    0     1    0    0
509 4.27 4.27     3     4    0    1    1     0    1    1
510 4.91 3.73     2     4    0    1    1     0    1    0
511 4.18 3.45     2     2    1    1    1     0    0    1
512 6.36 6.30     1     2    1    0    1     0    1    1
513 5.00 6.00     2     2    0    1    1     0    0    1
514 4.55 5.73     4     2    0    1    1     0    0    0
515 5.45 5.36     2     2    0    0    1     0    0    0
516 5.09 3.18     4     6    0    1    1     0    0    0
517 5.36 5.27     2     2    0    1    1     0    0    1
518 4.27 4.82     3     2    0    0    0     0    0    0
519 2.09 3.82     7     7    0    1    1     0    1    0
520 3.00 3.18     3     3    1    0    0     1    1    0
521 5.36 3.55     6     4    0    1    1     0    0    0
522 5.18 3.91     3     5    0    1    0     1    0    0
523 3.73 3.91     6     4    0    1    0     0    0    1
524 6.45 6.00     3     3    1    1    0     0    0    0
525 5.09 4.82     3     1    1    0    0     1    1    0
526 6.45 5.73     2     3    1    1    1     1    0    1
527 3.27 3.36     4     5    1    0    0     1    0    0
528 4.45 4.36     2     4    1    1    0     0    0    0
529 4.45 6.18     2     2    1    0    0     1    1    0
530 3.73 2.18     1     2    1    1    0     0    0    0
531 4.64 4.91     2     4    0    1    0     0    0    0
532 4.64 4.36     2     6    1    1    0     0    1    1
533 4.55 4.09     6     4    1    0    0     1    0    0
534 5.36 4.09     6     5    0    0    1     1    0    0
535 5.27 4.00     3     3    0    0    0     0    1    0
